ID,title,description,price,stock,expiryDate,createdAt,createdBy,modifiedAt,modifiedBy
60417645-2b7e-430d-9571-3931f7007c14,Wireless Mouse,Ergonomic wireless mouse with adjustable DPI,75.14,64,2005-01-11,2009-05-12T22:00:00.000Z,alice.jones@example.org,2005-10-04T22:00:00.000Z,bob.smith@example.com
60417651-2633-4ead-bf6c-34e52f914ad5,Notebook A5,Hardcover ruled notebook with 200 pages,11.19,80,2016-09-29,2011-11-24T22:00:00.000Z,susan.lee@example.net,2019-03-29T22:00:00.000Z,mark.taylor@example.org
60417662-8b42-4695-b1f4-77182f3cd51a,USB-C Charger,Fast charging 65W USB-C wall adapter,56.29,23,2007-03-23,2019-08-17T22:00:00.000Z,john.doe@example.com,2021-01-26T22:00:00.000Z,john.doe@example.com
60417673-0318-466a-9428-b137c2af209a,Smartphone Case,Slim protective case for iPhone 13,74.71,72,2022-12-31,2006-12-05T22:00:00.000Z,maria.garcia@example.org,2010-03-20T22:00:00.000Z,maria.garcia@example.net
6041768c-55c0-4299-96f5-60d19e33fd10,LED Bulb,Energy-saving 9W LED bulb warm white,14.71,42,2005-09-04,2019-03-30T22:00:00.000Z,paul.nguyen@example.com,2014-11-14T22:00:00.000Z,paul.nguyen@example.com
60417691-0418-47ed-9ea0-3fdb1d319ed5,Wireless Headphones,Bluetooth over-ear headphones with noise cancellation,96.91,41,2014-06-07,2002-01-13T22:00:00.000Z,emma.wilson@example.net,2017-10-10T22:00:00.000Z,emma.wilson@example.net
6041770d-cc10-401f-b3a7-fdf1f674f389,Portable SSD,1TB USB 3.2 portable solid-state drive,48.02,50,2006-05-07,2021-12-09T22:00:00.000Z,li.chen@example.com,2010-11-07T22:00:00.000Z,li.chen@example.com
60417719-bd20-4343-bc64-0e2d13cb7df5,Desk Lamp,Adjustable LED desk lamp with touch control,13.34,72,2012-03-14,2004-01-13T22:00:00.000Z,anna.kim@example.com,2023-05-06T22:00:00.000Z,anna.kim@example.net
6041772e-a3e3-4b96-8236-87a23bb13732,Backpack,Water-resistant laptop backpack with USB port,50.51,32,2019-08-07,2011-04-13T22:00:00.000Z,david.brown@example.net,2000-03-03T22:00:00.000Z,david.brown@example.net
60417733-5323-4aac-9b9e-08d94e84a7f6,Electric Kettle,1.7L stainless steel electric kettle with auto shut-off,57.69,5,2004-06-20,2014-04-14T22:00:00.000Z,sophia.martin@example.org,2012-07-31T22:00:00.000Z,sophia.martin@example.org
